pris,tomt,bad
1680000,1170,1
1540000,800,1
1980000,612,1
2420000,1330,1
2440000,1272,1
2640000,832,1
2640000,776,2
2760000,832,1
3352000,960,1
3540000,1100,2
3600000,1440,2
1220000,600,1
1080000,340,1
1440000,576,1
1480000,720,1
1516000,637,1
1620000,660,1
1630000,1040,1
1800000,690,1
1800000,797.2,2
1940000,957,1
2636000,902,2
1516000,800,1
1520000,786.8,1
1680000,992,1
1692000,600,1
1740000,760,1
1760000,992,1
1780000,600,1
1796000,900,1
1800000,700,1
1920000,700,1
1960000,800,1
2060000,900,1
2440000,1272,1
2440000,900,1
2468000,806.4,1
2680000,1034,1
3280000,1080,2
2180000,630,2
2660000,749,1
2800000,904,1
3280000,928,1
3680000,1716,3
1520000,400,1
1760000,432,1
1640000,608,1
1720000,618,1
1920000,992,1
2192000,670,1
2200000,1060,2
2280000,820,1
2720000,1833.2,1
3800000,808,1
1520000,726,3
1000000,724,1
1009800,480,1
2240000,1452,2
1420000,880,1
1200000,480,1
1920000,824,1
1920000,950,1
2080000,856,1
2160000,964,1
2240000,1100,1
2400000,1100,1
2400000,1008,1
2680000,1200,1
1880000,500,1
2800000,819,1
1800000,819,1
2040000,630,1
1300000,367.2,1
1360000,495,1
1400000,642,1
1440000,636,1
1800000,330,1
1880000,636,1
2200000,636,2
2556000,1272,1
2000000,848,1
1400000,648,1
2000000,730,1
1720000,648,1
2220000,756,1
2280000,1296,1
2400000,1170,1
3120000,630,2
1400000,600,1
1760000,618,1
1880000,1212,1
2320000,1180,2
6520000,1484,1
5120000,1700,2
4940000,1610,1
1560000,1360,1
2156000,1650,1
2396000,1650,1
1400000,700,1
1720000,567,1
2280000,900,2
3160000,660,3
5000000,864,1
5280000,700,2
2320000,998.4,2
1720000,920,1
1920000,744,1
2340000,736,2
2920000,600,2
2540000,750,1
1720000,1015.2,1
1860000,900,1
3680000,1000,1
3000000,852,1
3000000,1308,2
3400000,740,1
3720000,752,1
3780000,800,2
4260000,860,2
4640000,1368,1
2460000,880,1
3200000,2100,2
1480000,880,1
2380000,968,1
2800000,824,1
3800000,852,2
4680000,1192,3
4900000,1760,2
4940000,912,2
5080000,920,2
1400000,968,1
1780000,770,1
1996000,980,1
2020000,770,1
2600000,752,1
3600000,1200,2
1840000,874,1
1400000,1540,1
1060000,598,1
1720000,750,1
2240000,600,1
1600000,530,1
2040000,900,2
2040000,900,1
2290000,900,1
1760000,900,1
2440000,435,1
2480000,900,2
3200000,960,2
2000000,920,1
2396000,690,1
1420000,600,1
1480000,720,2
1680000,720,1
1920000,750,1
2400000,522,3
2400000,590.6,1
2400000,549.4,2
2480000,381,1
2520000,793.6,1
2556000,632.4,1
5200000,1200,1
1000000,582,1
2000000,427,2
2116000,624,1
2480000,815,1
2940000,682,1
1520000,560,1
1840000,536.8,1
1920000,620,1
2100000,726,1
1280000,390,1
1520000,486,1
1840000,864,1
2000000,607.2,1
2300000,726,2
2800000,1080,1
2796000,684,2
2980000,636,2
1680000,732,1
2400000,882,1
2000000,798,1
2320000,868,1
2556000,702,1
1120000,684,1
2160000,684,1
1788000,1099,1
1880000,696,1
2000000,1484.8,1
2290000,692,1
2680000,726,1
2100000,726,1
1680000,696,1
2300000,692,2
1320000,636,1
1376000,727,1
1600000,792,1
1620000,870,1
1860000,786,1
2080000,714,1
2120000,720,1
2156000,504,2
2000000,696,1
2220000,636,2
2240000,658,1
2400000,800,2
2400000,465,1
2780000,870,1
2880000,708,1
3700000,792,1
1620000,528,1
1680000,540,1
1916000,540,1
2080000,636,1
2480000,700,1
1640000,726,1
5532000,1200,3
1680000,630,1
1880000,758.4,1
2580000,702,1
1840000,624,1
2320000,600,1
2804000,840,1
3140000,563.4,2
3490000,648,1
2832000,560,2
2240000,763.2,1
1920000,637,1
2720000,1264.2,1
3160000,730,2
3200000,940,1
3480000,1323,2
1000000,770,1
1300000,794,1
1440000,600,1
1700000,870.4,1
1720000,726,1
2000000,720,1
1040000,600,1
1200000,600,1
1360000,557.4,2
2080000,600,1
2800000,954,1
1080000,729.8,1
1300000,794,1
1488000,582,1
1520000,696,1
1680000,1323,1
1780000,700,1
1800000,690,1
1940000,690,1
2080000,704,2
2156000,1386,1
2400000,920,2
2440000,872,1
2580000,690,1
2840000,882,3
3020000,920,2
1340000,728,1
1640000,1200,1
1640000,1080,1
1848000,728,1
1940000,728,1
1956000,808,1
2000000,728,1
2040000,728,1
2100000,1128,1
2100000,720,1
2160000,720,1
2360000,926.4,1
2400000,728,2
2520000,980,1
2560000,902,1
2596000,820,2
2600000,728,1
2640000,1136,1
2800000,1260,1
2620000,800,1
2280000,792,1
2080000,1192,1
2160000,1166,1
2980000,900,2
3600000,820,2
1800000,1350,1
1800000,1800,1
2600000,510,1
2200000,1430.4,1
2480000,1290,1
1200000,672,1
1360000,652.8,1
1520000,800,1
1560000,800,1
1800000,613.8,1
1880000,808,1
1900000,808,1
1960000,637,1
2000000,1180,1
2000000,624,1
2116000,1090,1
2120000,808,1
2200000,816,1
2240000,1616,1
2340000,808,1
2380000,816,1
2400000,1160,1
2560000,1177,1
2680000,1933.4,2
2724000,684,2
2800000,1160,1
2880000,1520,1
2300000,1080,1
2796000,999,2
2800000,600,1
3000000,1100,2
3076000,1290,2
3120000,1242,1
3200000,1000,1
3280000,1000,1
3320000,1165.6,1
3320000,1040,1
3356000,1100,1
3540000,1270,2
3720000,1650,2
3920000,1200,1
3940000,1540,2
3960000,1776,2
4040000,1776,1
4400000,1296,2
4617680,1400,2
4800000,1775,1
4960000,1431,2
7000000,1792,4
2000000,1470,1
2200000,770,1
2400000,1400,1
2440000,1554,1
4240000,1488,2
6200000,1500,3
5640000,1620,1
2500000,780,1
2800000,594,1
2920000,600,1
3200000,2100,1
3200000,1100,2
3520000,900,1
1960000,770,1
2080000,826,2
2380000,809.2,1
2400000,815.8,1
2560000,800,1
2580000,1972,1
2740000,1400,1
3140000,1596,1
3440000,1360,1
3476000,860,2
3000000,2053.8,1
3120000,1220,1
3800000,1284,2
3880000,2418,2
4280000,1320,1
5200000,1320,2
5800000,1716,3
7000000,1992,2
2880000,2140,1
3396000,3120,1
3960000,2640,1
4560000,1800,2
4800000,1590,2
5800000,3240,3
3160000,1220,2
3280000,1272,1
3400000,1284,1
4020000,1272,2
4880000,1308,2
5060000,1284,2
5320000,1310,2
5600000,1150,2
7600000,1484,2
3360000,1432,1
3880000,800,2
4140000,1800,2
4500000,1310,1
5600000,2640,1
2988000,1417,1
3120000,1320,2
3156000,1380,1
3356000,2292,1
3400000,1404,1
3400000,1308,1
3440000,1600,1
3476000,1924,1
3780000,2100,2
3840000,1004,1
4240000,1488,2
2880000,1320,1
2980000,1440,1
3080000,1342,2
3230000,1332,2
3316000,1400,1
3400000,1446.2,1
3700000,1482,1
3040000,1560,1
3100000,1365,1
3200000,1272,1
3200000,1320,2
3440000,1380,2
3480000,1320,1
3500000,1284,1
3560000,1320,2
3596000,1320,2
3600000,1800,1
3800000,1300,2
4480000,1272,2
1276000,1060,1
2080000,570,2
3600000,1280,1
4000000,2235,1
3668000,1350,1
6980000,1500,2
3788000,1200,1
2720000,2048,1
3200000,1027.2,1
2444000,680,1
2516000,576,1
2620000,768,1
2640000,574,1
1980000,1064,1
2000000,702.4,1
2140000,696,1
2342000,720,1
2580000,704,1
2600000,1064,1
2760000,1208,1
2920000,2282,1
3000000,1680,1
3000000,1060,2
5280000,1560,2
2400000,704,1
2600000,1072,1
2760000,1372.4,1
2076000,704,1
2280000,810,1
2600000,704,1
3180000,880,1
2900000,1144,1
4196000,2288,1
4596000,1496.4,2
4800000,1100,2
2320000,864,1
2680000,1080,1
2680000,864,1
2760000,963,1
2920000,1220,1
2940000,1596,1
2996000,1210,1
3000000,760,1
3180000,1080,1
4836000,1200,2
1782200,479.6,1
1880000,429,1
1904000,429,1
1960000,429,1
1960000,522,1
1960000,390,2
1980000,429,1
2080000,455,1
2160000,571.2,1
2200000,403,1
2200000,435.2,1
2240000,429,2
2400000,429,1
2420000,557.4,1
2000000,1900,1
2596000,998,2
3720000,1334,1
3400000,1250.8,2
2460000,2072,1
3540000,1100,2
3520000,1090,2
3560000,1100,1
3580000,1200,1
3800000,1140,1
3820000,1320,2
2060000,800,1
2516000,976,1
4740000,976,2
1716000,1610,1
1764000,1620,1
1880000,1176,1
2000000,1176,1
2000000,2588.8,1
2120000,1204,1
2120000,810,1
2160000,1680,1
2340000,1120,1
2360000,1197,1
2400000,900,1
2516000,984,1
2560000,1650,1
2600000,1680,1
2716000,1288,1
2740000,1620,1
2800000,1344,1
2820000,1189.6,1
2860000,1630,2
2876000,960,1
3000000,1960,2
3000000,1704,1
3480000,1674.4,1
2560000,808,1
2800000,929.2,1
1900000,955,1
2504000,990,1
2640000,1002,1
2356000,1212,1
2120000,716.8,1
3800000,1200,2
3860000,1200,2
4040000,1248,2
4080000,1200,2
4120000,1536,2
4200000,1200,2
4320000,1200,2
4400000,1200,2
4520000,1200,2
4800000,1495,2
4200000,1030,2
4240000,1265,1
4300000,1200,2
4320000,1200,2
4550000,1200,1
4800000,1400,1
2800000,2580,1
2840000,1537.2,1
3280000,1000,1
3280000,1160,2
3300000,1200,2
3320000,960,1
3360000,1300,2
3400000,1464,2
3400000,1305,2
3660000,960,2
3760000,1200,2
4120000,1200,2
4200000,1200,2
4200000,1200,1
